word,esdb_level,decision,existing_rarity,existing_definition,reason
bizones,80,deferred,,,Not individually approved; not added to puzzles.
bizzes,80,deferred,,,Not individually approved; not added to puzzles.
blabby,80,deferred,,,Not individually approved; not added to puzzles.
blackie,80,deferred,,,Not individually approved; not added to puzzles.
blacky,80,deferred,,,Not individually approved; not added to puzzles.
blader,80,deferred,,,Not individually approved; not added to puzzles.
bladers,80,deferred,,,Not individually approved; not added to puzzles.
blading,70,deferred,,,Not individually approved; not added to puzzles.
blaff,80,deferred,,,Not individually approved; not added to puzzles.
blaffs,80,deferred,,,Not individually approved; not added to puzzles.
blague,70,deferred,,,Not individually approved; not added to puzzles.
blagues,70,deferred,,,Not individually approved; not added to puzzles.
blahed,80,deferred,,,Not individually approved; not added to puzzles.
blahing,80,deferred,,,Not individually approved; not added to puzzles.
blain,70,deferred,,,Not individually approved; not added to puzzles.
blains,70,deferred,,,Not individually approved; not added to puzzles.
blam,80,deferred,,,Not individually approved; not added to puzzles.
blamer,80,deferred,,,Not individually approved; not added to puzzles.
blamers,80,deferred,,,Not individually approved; not added to puzzles.
blams,80,deferred,,,Not individually approved; not added to puzzles.
blastie,80,deferred,,,Not individually approved; not added to puzzles.
blasty,80,deferred,,,Not individually approved; not added to puzzles.
blat,70,deferred,4,"To cry, as a calf or sheep; bleat.",Not individually approved; not added to puzzles.
blate,70,deferred,4,"Bashful, sheepish.",Not individually approved; not added to puzzles.
blats,70,deferred,4,third-person singular simple present indicative of blat,Not individually approved; not added to puzzles.
blatt,80,deferred,,,Not individually approved; not added to puzzles.
blatted,70,deferred,,,Not individually approved; not added to puzzles.
blatter,80,deferred,,,Not individually approved; not added to puzzles.
blatts,80,deferred,,,Not individually approved; not added to puzzles.
blaubok,70,deferred,,,Not individually approved; not added to puzzles.
blaw,80,deferred,,,Not individually approved; not added to puzzles.
blawed,80,deferred,,,Not individually approved; not added to puzzles.
blawing,80,deferred,,,Not individually approved; not added to puzzles.
blawn,80,deferred,,,Not individually approved; not added to puzzles.
blaws,80,deferred,,,Not individually approved; not added to puzzles.
bleaks,80,deferred,,,Not individually approved; not added to puzzles.
bleared,80,deferred,,,Not individually approved; not added to puzzles.
blearer,80,deferred,,,Not individually approved; not added to puzzles.
blears,80,deferred,,,Not individually approved; not added to puzzles.
bleater,80,deferred,,,Not individually approved; not added to puzzles.
bleb,70,deferred,4,"A bubble, such as in paint or glass.",Not individually approved; not added to puzzles.
blebby,80,deferred,,,Not individually approved; not added to puzzles.
blebs,70,deferred,,,Not individually approved; not added to puzzles.
blende,70,deferred,,,Not individually approved; not added to puzzles.
blendes,70,deferred,,,Not individually approved; not added to puzzles.
blenny,70,deferred,4,"A true blenny, any of various marine fishes from the suborder Blennioidei or order Blenniiformes that are generally small and elongated which dwell on the sea floor, including scaled and scaleless forms and dramatically divergent appearance, in several families. Blenniidae (combtooth blennies)",Not individually approved; not added to puzzles.
blesbok,70,deferred,,,Not individually approved; not added to puzzles.
blesser,80,deferred,4,One who blesses; one who bestows or invokes a blessing.,Not individually approved; not added to puzzles.
blest,70,deferred,,,Not individually approved; not added to puzzles.
blet,80,deferred,,,Not individually approved; not added to puzzles.
blether,70,deferred,,,Not individually approved; not added to puzzles.
blets,80,deferred,,,Not individually approved; not added to puzzles.
blewit,80,deferred,,,Not individually approved; not added to puzzles.
blewits,80,deferred,,,Not individually approved; not added to puzzles.
blighty,80,deferred,,,Not individually approved; not added to puzzles.
blimped,80,deferred,,,Not individually approved; not added to puzzles.
blimy,80,deferred,,,Not individually approved; not added to puzzles.
blin,70,deferred,,,Not individually approved; not added to puzzles.
blings,80,deferred,,,Not individually approved; not added to puzzles.
blipped,80,deferred,,,Not individually approved; not added to puzzles.
blitzer,80,deferred,,,Not individually approved; not added to puzzles.
blivet,80,deferred,4,Anything overfull.,Not individually approved; not added to puzzles.
blivets,80,deferred,,,Not individually approved; not added to puzzles.
blivit,80,deferred,,,Not individually approved; not added to puzzles.
blivits,80,deferred,,,Not individually approved; not added to puzzles.
blooey,80,deferred,,,Not individually approved; not added to puzzles.
blooie,80,deferred,,,Not individually approved; not added to puzzles.
bloomy,70,deferred,,,Not individually approved; not added to puzzles.
blotty,80,deferred,,,Not individually approved; not added to puzzles.
blouson,70,deferred,,,Not individually approved; not added to puzzles.
blousy,80,deferred,,,Not individually approved; not added to puzzles.
blowby,80,deferred,,,Not individually approved; not added to puzzles.
blowbys,80,deferred,,,Not individually approved; not added to puzzles.
blowie,70,deferred,,,Not individually approved; not added to puzzles.
blowies,70,deferred,,,Not individually approved; not added to puzzles.
blowoff,80,deferred,,,Not individually approved; not added to puzzles.
blowzed,70,deferred,,,Not individually approved; not added to puzzles.
blub,70,deferred,,,Not individually approved; not added to puzzles.
blubbed,70,deferred,,,Not individually approved; not added to puzzles.
blubs,70,deferred,,,Not individually approved; not added to puzzles.
blucher,70,deferred,,,Not individually approved; not added to puzzles.
bludge,70,deferred,4,The act of bludging.,Not individually approved; not added to puzzles.
bludged,70,deferred,,,Not individually approved; not added to puzzles.
bludger,70,deferred,4,"A pimp, a man living off the earnings of a harlot.",Not individually approved; not added to puzzles.
bludges,70,deferred,,,Not individually approved; not added to puzzles.
bluely,80,deferred,,,Not individually approved; not added to puzzles.
bluette,80,deferred,,,Not individually approved; not added to puzzles.
bluey,70,deferred,,,Not individually approved; not added to puzzles.
blueys,70,deferred,,,Not individually approved; not added to puzzles.
bluings,80,deferred,,,Not individually approved; not added to puzzles.
blunge,70,deferred,,,Not individually approved; not added to puzzles.
blunged,70,deferred,,,Not individually approved; not added to puzzles.
blunger,70,deferred,,,Not individually approved; not added to puzzles.
blunges,70,deferred,,,Not individually approved; not added to puzzles.
blurbed,80,deferred,,,Not individually approved; not added to puzzles.
blurter,80,deferred,,,Not individually approved; not added to puzzles.
boarish,70,deferred,,,Not individually approved; not added to puzzles.
boart,70,deferred,,,Not individually approved; not added to puzzles.
boarts,70,deferred,,,Not individually approved; not added to puzzles.
boatel,70,deferred,,,Not individually approved; not added to puzzles.
boatels,70,deferred,,,Not individually approved; not added to puzzles.
boatful,70,deferred,,,Not individually approved; not added to puzzles.
bobbery,70,deferred,,,Not individually approved; not added to puzzles.
bobeche,80,deferred,,,Not individually approved; not added to puzzles.
bobstay,70,deferred,4,A strong rope or chain rigging running from the end of the bowsprit to the ship's stem or cutwater.,Not individually approved; not added to puzzles.
bocage,70,deferred,,,Not individually approved; not added to puzzles.
bocages,70,deferred,,,Not individually approved; not added to puzzles.
boccies,80,deferred,,,Not individually approved; not added to puzzles.
boche,80,deferred,,,Not individually approved; not added to puzzles.
boches,80,deferred,,,Not individually approved; not added to puzzles.
bocks,80,deferred,,,Not individually approved; not added to puzzles.
bodgie,70,deferred,,,Not individually approved; not added to puzzles.
bodgies,70,deferred,,,Not individually approved; not added to puzzles.
bodhran,70,deferred,,,Not individually approved; not added to puzzles.
bodings,70,deferred,,,Not individually approved; not added to puzzles.
bodying,80,deferred,,,Not individually approved; not added to puzzles.
boer,70,deferred,,,Not individually approved; not added to puzzles.
boff,80,deferred,,,Not individually approved; not added to puzzles.
boffed,80,deferred,,,Not individually approved; not added to puzzles.
boffing,80,deferred,,,Not individually approved; not added to puzzles.
boffola,80,deferred,,,Not individually approved; not added to puzzles.
boffos,80,deferred,,,Not individually approved; not added to puzzles.
boffs,80,deferred,,,Not individually approved; not added to puzzles.
bogan,70,deferred,4,An unsophisticated person from a working class background.,Not individually approved; not added to puzzles.
bogans,70,deferred,,,Not individually approved; not added to puzzles.
bogart,80,deferred,3,"An obnoxious, selfish and overbearing person; an attention hog.",Not individually approved; not added to puzzles.
bogarts,80,deferred,,,Not individually approved; not added to puzzles.
bogbean,70,deferred,,,Not individually approved; not added to puzzles.
boggart,70,deferred,,,Not individually approved; not added to puzzles.
boggish,80,deferred,,,Not individually approved; not added to puzzles.
boggler,80,deferred,,,Not individually approved; not added to puzzles.
bogle,70,deferred,,,Not individually approved; not added to puzzles.
bogles,70,deferred,,,Not individually approved; not added to puzzles.
bogue,80,deferred,,,Not individually approved; not added to puzzles.
bogued,80,deferred,,,Not individually approved; not added to puzzles.
bogues,80,deferred,,,Not individually approved; not added to puzzles.
boguing,80,deferred,,,Not individually approved; not added to puzzles.
bogusly,70,deferred,,,Not individually approved; not added to puzzles.
bogwood,80,deferred,,,Not individually approved; not added to puzzles.
bohea,80,deferred,,,Not individually approved; not added to puzzles.
boheas,80,deferred,,,Not individually approved; not added to puzzles.
bohemia,80,deferred,,,Not individually approved; not added to puzzles.
boho,70,deferred,,,Not individually approved; not added to puzzles.
bohos,70,deferred,,,Not individually approved; not added to puzzles.
bohrium,70,deferred,4,A transuranic chemical element (symbol Bh) with an atomic number of 107.,Not individually approved; not added to puzzles.
bohunk,70,deferred,,,Not individually approved; not added to puzzles.
bohunks,70,deferred,,,Not individually approved; not added to puzzles.
boiloff,80,deferred,,,Not individually approved; not added to puzzles.
boink,80,deferred,4,To have sexual intercourse (with); to bonk.,Not individually approved; not added to puzzles.
boinked,80,deferred,,,Not individually approved; not added to puzzles.
boinks,80,deferred,,,Not individually approved; not added to puzzles.
boite,80,deferred,,,Not individually approved; not added to puzzles.
boites,80,deferred,,,Not individually approved; not added to puzzles.
bolar,80,deferred,,,Not individually approved; not added to puzzles.
bolases,80,deferred,,,Not individually approved; not added to puzzles.
bolded,80,deferred,,,Not individually approved; not added to puzzles.
bolding,80,deferred,,,Not individually approved; not added to puzzles.
bolds,80,deferred,,,Not individually approved; not added to puzzles.
bolete,70,deferred,,,Not individually approved; not added to puzzles.
boletes,70,deferred,,,Not individually approved; not added to puzzles.
boleti,80,deferred,,,Not individually approved; not added to puzzles.
boletus,70,deferred,,,Not individually approved; not added to puzzles.
bolide,70,deferred,4,An extremely bright meteor.,Not individually approved; not added to puzzles.
bolides,70,deferred,,,Not individually approved; not added to puzzles.
bolivia,80,deferred,3,A card game similar to rummy and canasta.,Not individually approved; not added to puzzles.
bolix,80,deferred,,,Not individually approved; not added to puzzles.
bolixed,80,deferred,,,Not individually approved; not added to puzzles.
bolixes,80,deferred,,,Not individually approved; not added to puzzles.
bollox,80,deferred,,,Not individually approved; not added to puzzles.
bolo,70,deferred,4,"A long, heavy, single-edged machete.",Not individually approved; not added to puzzles.
bolos,70,deferred,4,plural of bolo,Not individually approved; not added to puzzles.
bolson,80,deferred,,,Not individually approved; not added to puzzles.
bolsons,80,deferred,,,Not individually approved; not added to puzzles.
bolter,70,deferred,,,Not individually approved; not added to puzzles.
bolters,70,deferred,,,Not individually approved; not added to puzzles.
boma,70,deferred,,,Not individually approved; not added to puzzles.
bombax,80,deferred,,,Not individually approved; not added to puzzles.
bombe,70,deferred,,,Not individually approved; not added to puzzles.
bombes,70,deferred,,,Not individually approved; not added to puzzles.
bomblet,80,deferred,,,Not individually approved; not added to puzzles.
bombora,70,deferred,,,Not individually approved; not added to puzzles.
bonaci,80,deferred,,,Not individually approved; not added to puzzles.
bonacis,80,deferred,,,Not individually approved; not added to puzzles.
bonder,80,deferred,,,Not individually approved; not added to puzzles.
bonders,80,deferred,,,Not individually approved; not added to puzzles.
boneset,70,deferred,,,Not individually approved; not added to puzzles.
boniato,80,deferred,,,Not individually approved; not added to puzzles.
bonne,70,deferred,4,A French nursemaid.,Not individually approved; not added to puzzles.
bonnes,70,deferred,,,Not individually approved; not added to puzzles.
bonnily,80,deferred,,,Not individually approved; not added to puzzles.
bonze,70,deferred,4,A Buddhist monk or priest in East Asia.,Not individually approved; not added to puzzles.
bonzer,70,deferred,4,Remarkable; wonderful; excellent; terrific.,Not individually approved; not added to puzzles.
bonzes,70,deferred,,,Not individually approved; not added to puzzles.
boobie,80,deferred,4,Alternative spelling of booby (“a woman's breast”).,Not individually approved; not added to puzzles.
boobish,80,deferred,,,Not individually approved; not added to puzzles.
boobook,80,deferred,,,Not individually approved; not added to puzzles.
boocoo,80,deferred,,,Not individually approved; not added to puzzles.
boocoos,80,deferred,,,Not individually approved; not added to puzzles.
boodies,80,deferred,,,Not individually approved; not added to puzzles.
boody,80,deferred,,,Not individually approved; not added to puzzles.
boogey,70,deferred,,,Not individually approved; not added to puzzles.
boogeys,70,deferred,,,Not individually approved; not added to puzzles.
boogy,80,deferred,,,Not individually approved; not added to puzzles.
booker,80,deferred,,,Not individually approved; not added to puzzles.
bookers,80,deferred,,,Not individually approved; not added to puzzles.
bookful,80,deferred,,,Not individually approved; not added to puzzles.
bookman,70,deferred,,,Not individually approved; not added to puzzles.
bookmen,70,deferred,,,Not individually approved; not added to puzzles.
bookoo,80,deferred,,,Not individually approved; not added to puzzles.
bookoos,80,deferred,,,Not individually approved; not added to puzzles.
boomier,80,deferred,,,Not individually approved; not added to puzzles.
boomkin,70,deferred,,,Not individually approved; not added to puzzles.
boomlet,70,deferred,4,A small period of rapid growth.,Not individually approved; not added to puzzles.
boomy,80,deferred,,,Not individually approved; not added to puzzles.
boong,70,deferred,,,Not individually approved; not added to puzzles.
boongs,70,deferred,,,Not individually approved; not added to puzzles.
bootboy,70,deferred,,,Not individually approved; not added to puzzles.
bootery,70,deferred,,,Not individually approved; not added to puzzles.
boozily,80,deferred,,,Not individually approved; not added to puzzles.
bopeep,80,deferred,,,Not individually approved; not added to puzzles.
bopeeps,80,deferred,,,Not individually approved; not added to puzzles.
bopper,70,deferred,,,Not individually approved; not added to puzzles.
boppers,70,deferred,,,Not individually approved; not added to puzzles.
boppish,80,deferred,,,Not individually approved; not added to puzzles.
bora,70,deferred,3,An initiation ceremony for males among the Aboriginal people of New South Wales.,Not individually approved; not added to puzzles.
boracic,70,deferred,4,"Relating to, or impregnated with borax.",Not individually approved; not added to puzzles.
borage,70,deferred,4,"Borago officinalis, a Mediterranean plant with rough, cucumber-flavored leaves and stems, used in salads and cooked.",Not individually approved; not added to puzzles.
borages,70,deferred,,,Not individually approved; not added to puzzles.
borak,70,deferred,,,Not individually approved; not added to puzzles.
boral,80,deferred,,,Not individually approved; not added to puzzles.
borals,80,deferred,,,Not individually approved; not added to puzzles.
borane,80,deferred,4,Any binary compound of boron and hydrogen.,Not individually approved; not added to puzzles.
boranes,80,deferred,,,Not individually approved; not added to puzzles.
boras,70,deferred,,,Not individually approved; not added to puzzles.
borate,70,deferred,4,The oxyanion BO₃³⁻ or any of several more complex derivatives,Not individually approved; not added to puzzles.
borated,80,deferred,,,Not individually approved; not added to puzzles.
borates,70,deferred,,,Not individually approved; not added to puzzles.
boraxes,80,deferred,,,Not individually approved; not added to puzzles.
bordel,80,deferred,4,A brothel.,Not individually approved; not added to puzzles.
bordels,80,deferred,,,Not individually approved; not added to puzzles.
bordure,70,deferred,,,Not individually approved; not added to puzzles.
boreal,70,deferred,,,Not individually approved; not added to puzzles.
boreas,80,deferred,,,Not individually approved; not added to puzzles.
boreen,80,deferred,4,"A narrow, frequently unpaved, rural road in Ireland, often characterised by a ridge of grass growing in the middle.",Not individually approved; not added to puzzles.
boreens,80,deferred,,,Not individually approved; not added to puzzles.
borg,70,deferred,3,Synonym of cyborg.,Not individually approved; not added to puzzles.
boric,70,deferred,4,"Of, pertaining to, or containing the element boron.",Not individually approved; not added to puzzles.
boride,70,deferred,,,Not individually approved; not added to puzzles.
borides,70,deferred,,,Not individually approved; not added to puzzles.
borings,80,deferred,,,Not individually approved; not added to puzzles.
bork,80,deferred,4,"To defeat a person's appointment or election, judicial nomination, etc., through a concerted attack on the person's character, background, and philosophy.",Not individually approved; not added to puzzles.
borked,80,deferred,,,Not individually approved; not added to puzzles.
borking,80,deferred,,,Not individually approved; not added to puzzles.
borks,80,deferred,,,Not individually approved; not added to puzzles.
borneol,70,deferred,,,Not individually approved; not added to puzzles.
bornite,70,deferred,,,Not individually approved; not added to puzzles.
boronic,80,deferred,,,Not individually approved; not added to puzzles.
borons,80,deferred,,,Not individually approved; not added to puzzles.
borsht,70,deferred,4,Alternative spelling of borscht.,Not individually approved; not added to puzzles.
borshts,70,deferred,,,Not individually approved; not added to puzzles.
bort,70,deferred,,,Not individually approved; not added to puzzles.
borts,70,deferred,,,Not individually approved; not added to puzzles.
borty,80,deferred,,,Not individually approved; not added to puzzles.
boscage,70,deferred,,,Not individually approved; not added to puzzles.
boshes,80,deferred,,,Not individually approved; not added to puzzles.
bosk,70,deferred,,,Not individually approved; not added to puzzles.
boskage,70,deferred,,,Not individually approved; not added to puzzles.
bosket,70,deferred,,,Not individually approved; not added to puzzles.
boskets,70,deferred,,,Not individually approved; not added to puzzles.
boskier,80,deferred,,,Not individually approved; not added to puzzles.
bosks,70,deferred,,,Not individually approved; not added to puzzles.
bosky,70,deferred,,,Not individually approved; not added to puzzles.
bosomed,70,deferred,,,Not individually approved; not added to puzzles.
boson,70,deferred,4,"A particle with totally symmetric composite quantum states, which exempts them from the Pauli exclusion principle, and that hence obeys Bose-Einstein statistics. They have integer spin. Among them are many elementary particles, and some (gauge bosons) are known to carry the fundamental forces. Compare fermion.",Not individually approved; not added to puzzles.
bosons,70,deferred,,,Not individually approved; not added to puzzles.
bosque,80,deferred,4,Rare spelling of bosk.,Not individually approved; not added to puzzles.
bosques,80,deferred,,,Not individually approved; not added to puzzles.
bosquet,70,deferred,,,Not individually approved; not added to puzzles.
bossdom,80,deferred,,,Not individually approved; not added to puzzles.
bosser,80,deferred,,,Not individually approved; not added to puzzles.
bossest,80,deferred,,,Not individually approved; not added to puzzles.
bosset,80,deferred,,,Not individually approved; not added to puzzles.
bossets,80,deferred,,,Not individually approved; not added to puzzles.
bossies,80,deferred,,,Not individually approved; not added to puzzles.
boston,80,deferred,,,Not individually approved; not added to puzzles.
bostons,80,deferred,,,Not individually approved; not added to puzzles.
bota,80,deferred,,,Not individually approved; not added to puzzles.
botas,80,deferred,,,Not individually approved; not added to puzzles.
botchy,70,deferred,,,Not individually approved; not added to puzzles.
botel,70,deferred,,,Not individually approved; not added to puzzles.
botels,70,deferred,,,Not individually approved; not added to puzzles.
botfly,70,deferred,4,"One of several dipterous insects of the family Oestridae, the larvae of which are parasites on many animals, including humans.",Not individually approved; not added to puzzles.
bothies,70,deferred,,,Not individually approved; not added to puzzles.
bothy,70,deferred,,,Not individually approved; not added to puzzles.
boto,80,deferred,4,"Inia geoffrensis, a species of freshwater dolphin endemic to the Amazon river system",Not individually approved; not added to puzzles.
botonee,80,deferred,,,Not individually approved; not added to puzzles.
botos,80,deferred,,,Not individually approved; not added to puzzles.
botox,70,deferred,,,Not individually approved; not added to puzzles.
bott,70,deferred,,,Not individually approved; not added to puzzles.
botte,80,deferred,,,Not individually approved; not added to puzzles.
bottes,80,deferred,,,Not individually approved; not added to puzzles.
botts,70,deferred,,,Not individually approved; not added to puzzles.
botulin,70,deferred,4,An extremely potent nerve toxin produced by the anaerobic bacteria Clostridium botulinum. Ingesting botulin results in the serious medical condition of botulism.,Not individually approved; not added to puzzles.
boubou,80,deferred,,,Not individually approved; not added to puzzles.
boubous,80,deferred,,,Not individually approved; not added to puzzles.
bouchee,80,deferred,,,Not individually approved; not added to puzzles.
boucle,80,deferred,,,Not individually approved; not added to puzzles.
boucles,80,deferred,,,Not individually approved; not added to puzzles.
boudin,80,deferred,,,Not individually approved; not added to puzzles.
boudins,80,deferred,,,Not individually approved; not added to puzzles.
bouffe,70,deferred,,,Not individually approved; not added to puzzles.
bouffes,70,deferred,,,Not individually approved; not added to puzzles.
boughed,80,deferred,,,Not individually approved; not added to puzzles.
bougie,70,deferred,,,Not individually approved; not added to puzzles.
bougies,70,deferred,,,Not individually approved; not added to puzzles.
bouilli,70,deferred,,,Not individually approved; not added to puzzles.
boule,70,deferred,,,Not individually approved; not added to puzzles.
boulle,80,deferred,,,Not individually approved; not added to puzzles.
boulles,80,deferred,,,Not individually approved; not added to puzzles.
bourdon,70,deferred,,,Not individually approved; not added to puzzles.
bourn,70,deferred,4,Alternative form of bourne (“small stream or brook”).,Not individually approved; not added to puzzles.
bourne,70,deferred,,,Not individually approved; not added to puzzles.
bournes,70,deferred,,,Not individually approved; not added to puzzles.
bourns,70,deferred,,,Not individually approved; not added to puzzles.
bourree,80,deferred,,,Not individually approved; not added to puzzles.
bourse,70,deferred,,,Not individually approved; not added to puzzles.
bourses,70,deferred,,,Not individually approved; not added to puzzles.
boursin,80,deferred,,,Not individually approved; not added to puzzles.
bouse,70,deferred,,,Not individually approved; not added to puzzles.
boused,70,deferred,,,Not individually approved; not added to puzzles.
bouses,70,deferred,,,Not individually approved; not added to puzzles.
bousing,70,deferred,,,Not individually approved; not added to puzzles.
bouton,80,deferred,4,"A bud-like swelling, especially one at the end of an axon.",Not individually approved; not added to puzzles.
boutons,80,deferred,,,Not individually approved; not added to puzzles.
bouvier,80,deferred,,,Not individually approved; not added to puzzles.
bovid,70,deferred,,,Not individually approved; not added to puzzles.
bovids,70,deferred,,,Not individually approved; not added to puzzles.
boweled,80,deferred,,,Not individually approved; not added to puzzles.
bowered,80,deferred,,,Not individually approved; not added to puzzles.
bowery,70,deferred,,,Not individually approved; not added to puzzles.
bowfin,70,deferred,4,"Any of the two extant elongated fish of the genus Amia, native to North America, previously thought to be the same species. especially, a ruddy bowfin (Amia calva).",Not individually approved; not added to puzzles.
bowfins,70,deferred,,,Not individually approved; not added to puzzles.
bowhead,70,deferred,,,Not individually approved; not added to puzzles.
bowings,70,deferred,,,Not individually approved; not added to puzzles.
bowknot,70,deferred,,,Not individually approved; not added to puzzles.
bowless,80,deferred,,,Not individually approved; not added to puzzles.
bowse,70,deferred,,,Not individually approved; not added to puzzles.
bowsed,70,deferred,,,Not individually approved; not added to puzzles.
bowser,70,deferred,,,Not individually approved; not added to puzzles.
bowses,70,deferred,,,Not individually approved; not added to puzzles.
bowshot,70,deferred,,,Not individually approved; not added to puzzles.
bowsing,70,deferred,,,Not individually approved; not added to puzzles.
bowyer,70,deferred,4,A person who makes or sells bows (for use with arrows).,Not individually approved; not added to puzzles.
bowyers,70,deferred,,,Not individually approved; not added to puzzles.
boxball,80,deferred,,,Not individually approved; not added to puzzles.
boxfish,70,deferred,,,Not individually approved; not added to puzzles.
boxful,70,deferred,,,Not individually approved; not added to puzzles.
boxfuls,70,deferred,,,Not individually approved; not added to puzzles.
boxhaul,70,deferred,,,Not individually approved; not added to puzzles.
boxily,80,deferred,,,Not individually approved; not added to puzzles.
boxings,80,deferred,,,Not individually approved; not added to puzzles.
boyar,70,deferred,4,"A member of a rank of aristocracy (second only to princes) in Russia, Ukraine, Belarus, Bulgaria, North Macedonia, Serbia and Romania.",Not individually approved; not added to puzzles.
boyard,80,deferred,4,"Alternative form of boyar. Meaning: A member of a rank of aristocracy (second only to princes) in Russia, Ukraine, Belarus, Bulgaria, North Macedonia, Serbia and Romania.",Not individually approved; not added to puzzles.
boyards,80,deferred,,,Not individually approved; not added to puzzles.
boyars,70,deferred,,,Not individually approved; not added to puzzles.
boychik,80,deferred,4,"Term of endearment for a young boy, or a young man.",Not individually approved; not added to puzzles.
boyf,70,deferred,,,Not individually approved; not added to puzzles.
boyla,70,deferred,,,Not individually approved; not added to puzzles.
boylas,70,deferred,,,Not individually approved; not added to puzzles.
boyo,70,deferred,4,A boy or lad.,Not individually approved; not added to puzzles.
boyos,70,deferred,,,Not individually approved; not added to puzzles.
braai,70,deferred,4,"A barbecue (grill), especially an open outdoor grill built specifically for the purpose of braaing.",Not individually approved; not added to puzzles.
braaien,70,deferred,,,Not individually approved; not added to puzzles.
braais,70,deferred,,,Not individually approved; not added to puzzles.
brabble,70,deferred,,,Not individually approved; not added to puzzles.
brach,70,deferred,,,Not individually approved; not added to puzzles.
braches,70,deferred,,,Not individually approved; not added to puzzles.
brachet,80,deferred,,,Not individually approved; not added to puzzles.
brachia,70,deferred,,,Not individually approved; not added to puzzles.
brachs,80,deferred,,,Not individually approved; not added to puzzles.
bracted,80,deferred,,,Not individually approved; not added to puzzles.
bradded,80,deferred,,,Not individually approved; not added to puzzles.
braggy,80,deferred,,,Not individually approved; not added to puzzles.
brahma,80,deferred,,,Not individually approved; not added to puzzles.
brahmas,80,deferred,,,Not individually approved; not added to puzzles.
brahmin,80,deferred,3,"A member of the Hindu priestly caste, one of the four varnas or social groups based on occupation in ancient Hindu society.",Not individually approved; not added to puzzles.
braider,70,deferred,,,Not individually approved; not added to puzzles.
brail,70,deferred,,,Not individually approved; not added to puzzles.
brailed,70,deferred,,,Not individually approved; not added to puzzles.
brails,70,deferred,,,Not individually approved; not added to puzzles.
brakier,80,deferred,,,Not individually approved; not added to puzzles.
braky,80,deferred,,,Not individually approved; not added to puzzles.
branchy,80,deferred,,,Not individually approved; not added to puzzles.
brank,80,deferred,,,Not individually approved; not added to puzzles.
branks,80,deferred,,,Not individually approved; not added to puzzles.
branle,70,deferred,,,Not individually approved; not added to puzzles.
branles,70,deferred,,,Not individually approved; not added to puzzles.
branny,70,deferred,,,Not individually approved; not added to puzzles.
brans,80,deferred,,,Not individually approved; not added to puzzles.
brant,70,deferred,3,"Any of several wild geese, of the genus Branta, that breed in the Arctic, but especially the brent goose, Branta bernicla.",Not individually approved; not added to puzzles.
brants,70,deferred,,,Not individually approved; not added to puzzles.
brashes,80,deferred,,,Not individually approved; not added to puzzles.
brashy,70,deferred,,,Not individually approved; not added to puzzles.
brasier,70,deferred,,,Not individually approved; not added to puzzles.
brassed,80,deferred,,,Not individually approved; not added to puzzles.
brassie,70,deferred,,,Not individually approved; not added to puzzles.
brattle,80,deferred,,,Not individually approved; not added to puzzles.
brava,80,deferred,4,"A shout of ""brava!"".",Not individually approved; not added to puzzles.
bravas,80,deferred,,,Not individually approved; not added to puzzles.
bravers,80,deferred,,,Not individually approved; not added to puzzles.
bravoed,80,deferred,,,Not individually approved; not added to puzzles.
braw,70,deferred,,,Not individually approved; not added to puzzles.
brawer,80,deferred,,,Not individually approved; not added to puzzles.
brawest,80,deferred,,,Not individually approved; not added to puzzles.
brawly,80,deferred,,,Not individually approved; not added to puzzles.
brawns,80,deferred,,,Not individually approved; not added to puzzles.
braxies,70,deferred,,,Not individually approved; not added to puzzles.
braxy,70,deferred,,,Not individually approved; not added to puzzles.
brayer,70,deferred,4,"A hand printing tool, in the US often a roller, used to spread a thin even layer of ink. Early brayers, consisting of a vertical cylinder with a single handle, were designed to break up thick inks before spreading.",Not individually approved; not added to puzzles.
brayers,70,deferred,,,Not individually approved; not added to puzzles.
brazil,70,deferred,2,"The hard, brown wood of a certain species of the tribe Caesalpinieae; originally sappan (Biancaea sappan), of the East Indies, and later brazilwood, Paubrasilia echinata.",Not individually approved; not added to puzzles.
brazils,70,deferred,,,Not individually approved; not added to puzzles.
bready,80,deferred,,,Not individually approved; not added to puzzles.
breamed,80,deferred,,,Not individually approved; not added to puzzles.
breccia,70,deferred,,,Not individually approved; not added to puzzles.
brede,70,deferred,,,Not individually approved; not added to puzzles.
bredes,70,deferred,,,Not individually approved; not added to puzzles.
bree,70,deferred,3,The brow; forehead.,Not individually approved; not added to puzzles.
breeks,70,deferred,4,"Pants, breeches.",Not individually approved; not added to puzzles.
brees,70,deferred,,,Not individually approved; not added to puzzles.
bregma,70,deferred,,,Not individually approved; not added to puzzles.
brei,70,deferred,,,Not individually approved; not added to puzzles.
breis,70,deferred,,,Not individually approved; not added to puzzles.
brent,70,deferred,,,Not individually approved; not added to puzzles.
brents,70,deferred,,,Not individually approved; not added to puzzles.
brevier,70,deferred,,,Not individually approved; not added to puzzles.
brewage,70,deferred,,,Not individually approved; not added to puzzles.
brewis,70,deferred,,,Not individually approved; not added to puzzles.
brewski,70,deferred,,,Not individually approved; not added to puzzles.
briard,80,deferred,4,Alternative letter-case form of Briard,Not individually approved; not added to puzzles.
briards,80,deferred,,,Not individually approved; not added to puzzles.
briary,80,deferred,,,Not individually approved; not added to puzzles.
bribee,80,deferred,,,Not individually approved; not added to puzzles.
